model,model_key,protocol,degree,task,seed,split,geometry_id,beta1,beta2,harmonic_dimension,basis_index,probe_mode,pure_harmonic_identity_error,harmonic_preservation_error,harmonic_to_nonharmonic_leakage,predicted_norm,coefficient_identity_error
MGN-lite,mgn-lite,C,2,C-k2,0,test_iid,PC_test_iid_0132_b01,0,1,1,0,combined,0.2485531121492386,0.2370774745941162,0.0746519193053245,0.7665661573410034,0.2370775938034057
MGN-lite,mgn-lite,C,2,C-k2,0,test_iid,PC_test_iid_0199_b02,0,2,2,0,combined,0.2148120403289795,0.168145403265953,0.1336837112903595,0.8556832671165466,0.168145403265953
MGN-lite,mgn-lite,C,2,C-k2,0,test_ood,PC_test_ood_0000_b03,0,3,3,0,combined,0.2234548330307006,0.1687261313199997,0.1465044319629669,0.8478521108627319,0.1687261909246444
MGN-lite,mgn-lite,C,2,C-k2,0,test_ood,PC_test_ood_0066_b03,0,3,3,0,combined,0.2019467502832412,0.1500486731529235,0.1351587623357772,0.8693650960922241,0.150048553943634
MGN-lite,mgn-lite,C,2,C-k2,0,test_ood,PC_test_ood_0132_b03,0,3,3,0,combined,0.2231195420026779,0.1953189074993133,0.1078556478023529,0.8374335169792175,0.1953189522027969
MGN-lite,mgn-lite,C,2,C-k2,0,test_ood,PC_test_ood_0199_b03,0,3,3,0,combined,0.1635734289884567,0.1112288460135459,0.1199350133538246,0.8999197483062744,0.1112288311123848
MGN-lite,mgn-lite,D,1,D-k1,0,test_iid,PD_test_iid_0000_b10,1,0,1,0,combined,0.1694119721651077,0.1340769678354263,0.1035557240247726,0.8720932006835938,0.1340768337249755
MGN-lite,mgn-lite,D,1,D-k1,0,test_iid,PD_test_iid_0066_b21,2,1,2,0,combined,0.2050501704216003,0.1683270335197448,0.1170964688062667,0.8404164910316467,0.1683269143104553
MGN-lite,mgn-lite,D,1,D-k1,0,test_iid,PD_test_iid_0131_b22,2,2,2,0,combined,0.1385279893875122,0.0737795904278755,0.1172457858920097,0.9338067770004272,0.0737796649336814
MGN-lite,mgn-lite,D,1,D-k1,0,test_iid,PD_test_iid_0198_b10,1,0,1,0,combined,0.1767627000808715,0.1507332772016525,0.0923283472657203,0.8542706966400146,0.1507332324981689
MGN-lite,mgn-lite,D,1,D-k1,0,test_ood,PD_test_ood_0000_b33,3,3,3,0,combined,0.1480993628501892,0.0537119098007679,0.1380161195993423,0.970053493976593,0.053711675107479
MGN-lite,mgn-lite,D,1,D-k1,0,test_ood,PD_test_ood_0066_b33,3,3,3,0,combined,0.1739746332168579,0.0966109782457351,0.1446841061115265,0.935491383075714,0.0966110974550247
MGN-lite,mgn-lite,D,1,D-k1,0,test_ood,PD_test_ood_0132_b33,3,3,3,0,combined,0.1486042588949203,0.0391406491398811,0.1433570235967636,0.9756019711494446,0.0391405709087848
MGN-lite,mgn-lite,D,1,D-k1,0,test_ood,PD_test_ood_0199_b33,3,3,3,0,combined,0.1802119314670562,0.1101147308945655,0.1426572203636169,0.9089162945747375,0.110114686191082
MGN-lite,mgn-lite,D,2,D-k2,0,test_iid,PD_test_iid_0001_b01,0,1,1,0,combined,0.2229947596788406,0.2031326293945312,0.0919988825917244,0.8021604418754578,0.2031327486038208
MGN-lite,mgn-lite,D,2,D-k2,0,test_iid,PD_test_iid_0066_b21,2,1,1,0,combined,0.2367310374975204,0.2236599773168563,0.0775739997625351,0.7802059650421143,0.2236602902412414
MGN-lite,mgn-lite,D,2,D-k2,0,test_iid,PD_test_iid_0133_b11,1,1,1,0,combined,0.2705762088298797,0.2544155418872833,0.0921097323298454,0.7512525320053101,0.2544156312942505
