model,protocol,degree,task,iid_leakage_mean,ood_leakage_mean,ood_iid_ratio,iid_positive_dimension_leakage_mean,ood_positive_dimension_leakage_mean,positive_dimension_ood_iid_ratio,iid_leakage_per_sqrt_dimension_mean,ood_leakage_per_sqrt_dimension_mean,ratio_ci95_low,ratio_ci95_high,significant_degradation,significant_improvement
GAOT,A,1,A-k1,0.005092517285665963,0.004762132581381593,0.9351234985201845,0.005092517285665963,0.004762132581381593,0.9351234985201845,0.005092517285665963,0.004762132581381593,0.8104392274901032,1.0802016724764718,False,False
GAOT,A,2,A-k2,0.003951699826284311,0.004318293321557576,1.0927685579107345,0.003951699826284311,0.004318293321557576,1.0927685579107345,0.003951699826284311,0.004318293321557576,0.9542901057023977,1.2516705498934193,False,False
GAOT,B,1,B-k1,0.0037091102705323407,0.006212477403620552,1.674923889780715,0.0055776094293719415,0.006212477403620552,1.113824386804774,0.0046019511586227685,0.0035867755013147934,1.440272024384565,1.9856173819772378,True,False
GAOT,C,2,C-k2,0.003408707372658905,0.006540878865737663,1.9188736810566072,0.005087622944267021,0.006540878865737663,1.2856453664323915,0.004275784807552018,0.0037763781738703738,1.701879794207023,2.188397288618853,True,False
GAOT,D,1,D-k1,0.002550088791735523,0.005115950030600989,2.0061850572320754,0.0038347199875722153,0.005115950030600989,1.3341130632345897,0.0032160350572623814,0.0029536951273281555,1.7199092956173159,2.3547987252941356,True,False
GAOT,D,2,D-k2,0.0006912876036004711,0.0008970496967715133,1.2976504870067245,0.001039530230978152,0.0008970496967715133,0.8629375742776538,0.0008566052432883623,0.0005179118839075054,1.13042140363313,1.511450592749033,True,False
GNOT,A,1,A-k1,0.014328040809486993,0.012950045399484224,0.9038252731668529,0.014328040809486993,0.012950045399484224,0.9038252731668529,0.014328040809486993,0.012950045399484224,0.787174908831991,1.0479633083764337,False,False
GNOT,A,2,A-k2,0.003908411246666219,0.014042795808636583,3.5929678119265933,0.003908411246666219,0.014042795808636583,3.5929678119265933,0.003908411246666219,0.014042795808636583,2.682797034508352,4.742042788734408,True,False
GNOT,B,1,B-k1,0.00993763117368874,0.022622137630917763,2.2764114740479204,0.014943806276223668,0.022622137630917763,1.5138136302928984,0.01223656551905408,0.013060897250855135,1.918596893597576,2.763220919679498,True,False
GNOT,C,2,C-k2,0.005773567380528593,0.013701278198044106,2.373104407143265,0.008617264747057603,0.013701278198044106,1.5899799528768659,0.006971355354556517,0.007910436655882716,1.8012801656893138,3.1650515964789525,True,False
GNOT,D,1,D-k1,0.008936056567151098,0.01914469479183651,2.14240975824503,0.013437679048347516,0.01914469479183651,1.4247024892863551,0.011156801119666866,0.011053194691620036,1.8270359728617627,2.533490605870458,True,False
GNOT,D,2,D-k2,0.005990802701258362,0.013364804935403707,2.2308871781682202,0.009008725866553928,0.013364804935403707,1.4835399735648247,0.007418830229553532,0.0077161737271221695,1.7218215190080661,2.972533382434875,True,False
MGN-lite,A,1,A-k1,0.02195908959576627,0.018427151071664413,0.8391582442642807,0.02195908959576627,0.018427151071664413,0.8391582442642807,0.02195908959576627,0.018427151071664413,0.7084057495122053,0.9886848493652859,False,True
MGN-lite,A,2,A-k2,0.010006013585662004,0.015009045392507686,1.5000024997482226,0.010006013585662004,0.015009045392507686,1.5000024997482226,0.010006013585662004,0.015009045392507686,1.2319464223197907,1.8361565817082672,True,False
MGN-lite,B,1,B-k1,0.01709699153299523,0.029806628213444455,1.7433843933406472,0.025709761703752224,0.029806628213444455,1.1593506215942468,0.02138323883151159,0.01720886482266725,1.4907838701807115,2.0594676303058703,True,False
MGN-lite,C,2,C-k2,0.011021362307209586,0.026153250421094162,2.3729598655524775,0.016449794488372516,0.026153250421094162,1.5898831099677642,0.013346425744151668,0.015099586170802409,2.008126685566803,2.864921405586389,True,False
MGN-lite,D,1,D-k1,0.017763878516399476,0.029910367487205526,1.683774602371252,0.026712599272781166,0.029910367487205526,1.1197101105979987,0.022404152969996555,0.01726875872029874,1.4263012093636789,2.015427293958096,True,False
MGN-lite,D,2,D-k2,0.01146333270326218,0.023673581183678287,2.065156948195023,0.017238094290619822,0.023673581183678287,1.373329370589824,0.014448888658226014,0.013667948469079119,1.7413461937268004,2.484510726524166,True,False
RIGNO,A,1,A-k1,0.013853503753634868,0.012945896281453316,0.934485348309239,0.013853503753634868,0.012945896281453316,0.934485348309239,0.013853503753634868,0.012945896281453316,0.8097373776660796,1.0829232032823286,False,False
RIGNO,A,2,A-k2,0.004052952039855882,0.011767752513405868,2.9035015452393096,0.004052952039855882,0.011767752513405868,2.9035015452393096,0.004052952039855882,0.011767752513405868,2.35540407501905,3.575953191844063,True,False
RIGNO,B,1,B-k1,0.012780394887693048,0.02741481309388849,2.1450677645447924,0.019218638928861727,0.02741481309388849,1.4264700634596779,0.01586190238094822,0.015827949719539797,1.8581575939893307,2.5232826351718836,True,False
RIGNO,C,2,C-k2,0.006799072128968582,0.01968060004692631,2.894600861811603,0.01014786884920684,0.01968060004692631,1.9393825775079039,0.008023736755041791,0.011362599734906267,2.360713688381151,3.5709763618010055,True,False
RIGNO,D,1,D-k1,0.012380981478261041,0.02323491189542359,1.8766615501641446,0.01861801726054292,0.02323491189542359,1.2479799308929236,0.015435488139198487,0.013414682637420048,1.6186568404420456,2.2199559927776376,True,False
RIGNO,D,2,D-k2,0.006269039630219885,0.012983408919643122,2.071036344224976,0.00942712726348855,0.012983408919643122,1.3772391689832044,0.007638320632369676,0.007495974634754945,1.696909856733495,2.565297520730753,True,False
TNO,A,1,A-k1,0.002741402672691038,0.002870157714023662,1.0469668471429876,0.002741402672691038,0.002870157714023662,1.0469668471429876,0.002741402672691038,0.002870157714023662,0.8890090855624531,1.2410670749649972,False,False
TNO,A,2,A-k2,0.002151294526120182,0.003395290820626542,1.5782547567634213,0.002151294526120182,0.003395290820626542,1.5782547567634213,0.002151294526120182,0.003395290820626542,1.3995758005623162,1.7846460802292543,True,False
TNO,B,1,B-k1,0.002346704228007207,0.006943458394599104,2.958812750568312,0.0035288785383567026,0.006943458394599104,1.9676104794088103,0.002914667648749439,0.004008807573228758,2.509436692738111,3.456333249756784,True,False
TNO,C,2,C-k2,0.00148902833913896,0.003710951568657939,2.4921967356992165,0.0022224303569238204,0.003710951568657939,1.669771813288532,0.0017903882265998393,0.002142518887114325,2.151105479831563,2.9152202314875617,True,False
TNO,D,1,D-k1,0.0026459112278132647,0.0076731677008450225,2.900009500427029,0.003978813876410924,0.0076731677008450225,1.9285063180281432,0.0032448402208587793,0.004430105437620016,2.4826752380561055,3.4098874467766564,True,False
TNO,D,2,D-k2,0.0018656150895189462,0.0033905035523870168,1.8173649911053742,0.0028054362248405213,0.0033905035523870168,1.208547719302087,0.0023231655700466113,0.0019575081386590267,1.5745514717489473,2.108152601253044,True,False
Transolver,A,1,A-k1,0.012646811156882905,0.013987257196567952,1.1059908321513547,0.012646811156882905,0.013987257196567952,1.1059908321513547,0.012646811156882905,0.013987257196567952,0.9457954851338595,1.3022304316074687,False,False
Transolver,A,2,A-k2,0.004637682625470916,0.010738954392072628,2.3155863082947796,0.004637682625470916,0.010738954392072628,2.3155863082947796,0.004637682625470916,0.010738954392072628,1.480069016620982,3.630846681669723,True,False
Transolver,B,1,B-k1,0.01093973382496461,0.020762843993359693,1.897929540486688,0.016450727556337762,0.020762843993359693,1.2621231444622967,0.013554041871008254,0.011987433568708426,1.5820553527205554,2.298272833522163,True,False
Transolver,C,2,C-k2,0.0036038341584357977,0.009940072382313248,2.758193618950942,0.005378856952889249,0.009940072382313248,1.8479897248663502,0.00432970864369893,0.005738903465692919,1.916831579229319,4.064143869881734,True,False
Transolver,D,1,D-k1,0.007355237209042123,0.015176385002602615,2.0633440593706833,0.01106050708126635,0.015176385002602615,1.372123799543999,0.00914331653464908,0.00876208996657802,1.7653532047996214,2.4476119330535324,True,False
Transolver,D,2,D-k2,0.003993386996945234,0.0070057119199736,1.7543283241965615,0.0060050932284890736,0.0070057119199736,1.1666283356885803,0.004847390916822378,0.0040447496628617284,1.2983485726236388,2.3847470679155123,True,False
