task,protocol,degree,task_type,harmonic_supported,model,ood_loss,rank,relative_regret_to_best,best_model
D-k0,D,0,scalar_local_diffusion,False,Transolver,0.0405757254501804,5,3.026397149627844,MGN-lite
D-k0,D,0,scalar_local_diffusion,False,GAOT,0.3139689877815544,6,23.41781543401613,MGN-lite
D-k1,D,1,nontrivial_harmonic_subspace,True,TNO,0.1168681760178878,1,1.0,TNO
D-k1,D,1,nontrivial_harmonic_subspace,True,RIGNO,0.2695613905842549,2,2.3065422920863923,TNO
D-k1,D,1,nontrivial_harmonic_subspace,True,GNOT,0.2863559432700276,3,2.450247390069629,TNO
D-k1,D,1,nontrivial_harmonic_subspace,True,MGN-lite,0.2864455574005842,4,2.4510141867597977,TNO
D-k1,D,1,nontrivial_harmonic_subspace,True,Transolver,0.3862917209416628,5,3.3053627951080293,TNO
D-k1,D,1,nontrivial_harmonic_subspace,True,GAOT,0.5413471910357476,6,4.632118079372516,TNO
D-k2,D,2,nontrivial_harmonic_subspace,True,TNO,0.2218053570343181,1,1.0,TNO
D-k2,D,2,nontrivial_harmonic_subspace,True,MGN-lite,0.408805138990283,2,1.8430805479915975,TNO
D-k2,D,2,nontrivial_harmonic_subspace,True,RIGNO,0.4680785345033321,3,2.1103121257387403,TNO
D-k2,D,2,nontrivial_harmonic_subspace,True,GNOT,0.623934934027493,4,2.8129840612053236,TNO
D-k2,D,2,nontrivial_harmonic_subspace,True,Transolver,0.6554934731125832,5,2.9552643898098645,TNO
D-k2,D,2,nontrivial_harmonic_subspace,True,GAOT,0.825326479151845,6,3.720949260139596,TNO
