model,median_ood_harmonic_relative,median_ood_nonharmonic_relative,median_harmonic_over_nonharmonic,median_harmonic_degradation,median_nonharmonic_degradation,median_harmonic_error_energy_share,median_nonharmonic_to_harmonic_leakage,mean_harmonic_fidelity_rank,mean_nonharmonic_filter_rank,mean_leakage_rank
TNO,0.00788662365860849,0.2557247460881869,0.022669883617239393,1.5268967620893303,1.0005094076926215,0.006785995648536105,0.0035531211946422405,1.0,1.0,1.5
MGN-lite,0.14498714022571219,0.84826184378316,0.24814014659008893,1.1004347165960588,1.3095436374311138,0.1969361760371321,0.024913415802386225,2.5,2.8333333333333335,6.0
RIGNO,0.1646967991706988,0.8937927637340094,0.20887445451617115,1.246689337130213,1.163277646763952,0.23480242690516193,0.016332004483284715,2.6666666666666665,3.1666666666666665,4.333333333333333
GNOT,0.22834571088974676,1.040061053012808,0.20665400078156734,1.4570264224036191,1.3876106580549346,0.3314231524125052,0.013872037003340346,3.8333333333333335,4.5,4.333333333333333
Transolver,0.3496562244681021,1.1372329199810824,0.2656467111553955,1.2074567588900558,1.131927956910988,0.4060593452865773,0.01236310579432029,5.0,5.5,3.3333333333333335
GAOT,0.5971754558136066,0.7090765849500894,0.8153776811801798,0.9960014500107552,1.0254423433237425,0.7194395559911031,0.004939041305991291,6.0,4.0,1.5
