model,pure_H_identity_error,H_to_perp_leakage,H_preservation_error,pure_H_identity_error_iid,H_to_perp_leakage_iid,perp_to_H_leakage,perp_to_H_leakage_iid,median_ood_harmonic_relative,median_ood_nonharmonic_relative,median_harmonic_over_nonharmonic,median_harmonic_degradation,median_nonharmonic_degradation,median_harmonic_error_energy_share,median_nonharmonic_to_harmonic_leakage,mean_harmonic_fidelity_rank,mean_nonharmonic_filter_rank,mean_leakage_rank,pure_H_identity_ood_iid,bidirectional_leakage,structural_access,hard_kernel_identity_guarantee,rank_pure_H_identity_error,rank_bidirectional_leakage,rank_median_ood_nonharmonic_relative,empirical_kernel_capability_rank,positive_spectrum_filter_rank
RIGNO,0.1649591345340013,0.11432266049087042,0.13574398122727868,0.18049469217658037,0.09079731442034239,0.0163320044832847,0.00959002680361475,0.1646967991706988,0.8937927637340094,0.2088744545161711,1.246689337130213,1.163277646763952,0.2348024269051619,0.0163320044832847,2.6666666666666665,3.1666666666666665,4.333333333333333,0.9139278975174493,0.043210163198927294,coordinate-reconstructed graph,False,1.0,3.0,4.0,2.0,4.0
GAOT,0.5880817845463753,0.0492725037038326,0.5851835533976555,0.5926061719655991,0.0554548911750316,0.004939041305991199,0.0035589088215956,0.5971754558136066,0.7090765849500894,0.8153776811801798,0.9960014500107552,1.0254423433237423,0.7194395559911031,0.0049390413059912,6.0,4.0,1.5,0.9923652711813362,0.015599965738514734,coordinate-reconstructed graph,False,6.0,1.0,2.0,3.5,2.0
GNOT,0.2126634567975998,0.14597909897565836,0.16714837029576302,0.16509144008159635,0.11797234788537023,0.0138720370033403,0.0074634296342046495,0.2283457108897467,1.040061053012808,0.2066540007815673,1.4570264224036191,1.3876106580549346,0.3314231524125052,0.0138720370033403,3.8333333333333335,4.5,4.333333333333333,1.2881555621084353,0.04500030514012776,coordinate attention,False,3.0,4.0,5.0,3.5,5.0
TNO,0.3493354544043541,0.2898620180785656,0.14605847932398316,0.26396519318223,0.23173237219452855,0.0035531211946422,0.00224899937706365,0.0078866236586084,0.2557247460881869,0.0226698836172393,1.5268967620893303,1.0005094076926215,0.0067859956485361,0.0035531211946422,1.0,1.0,1.5,1.3234148419075398,0.03209228692313329,incidence + explicit harmonic basis,False,5.0,2.0,1.0,3.5,1.0
MGN-lite,0.18710112571716303,0.13051483593881125,0.1290907077491283,0.20147511735558504,0.08939583972096438,0.024913415802386152,0.014280162118128648,0.1449871402257121,0.84826184378316,0.2481401465900889,1.1004347165960588,1.3095436374311138,0.1969361760371321,0.0249134158023862,2.5,2.833333333333333,6.0,0.9286562438722731,0.05702254270131959,raw graph incidence,False,2.0,6.0,3.0,4.0,3.0
Transolver,0.32935284823179245,0.17126142978668205,0.26728305965661997,0.2933234013617039,0.160272616893053,0.012363105794320251,0.0059964599172565,0.3496562244681021,1.1372329199810824,0.2656467111553955,1.2074567588900558,1.131927956910988,0.4060593452865773,0.0123631057943202,5.0,5.5,3.333333333333333,1.1228318187462303,0.046014380088612514,coordinate attention,False,4.0,5.0,6.0,4.5,6.0
