Model,A-k0,A-k1,A-k2,B-k0,B-k1,B-k2,C-k0,C-k1,C-k2,D-k0,D-k1,D-k2
MGN-lite,0.010543127896962688,0.2287890871055424,0.47598518956452607,0.013781881529139355,0.26986280240118504,0.34862179659307,0.009984669816331006,0.19859131279401482,0.46332565233111384,0.01340727057424374,0.2864455574005842,0.40880513899028303
RIGNO,0.02651621211495221,0.26510511092278727,0.4070699361784305,0.029178883334601804,0.24282560401857864,0.3970727529775377,0.02341015775504718,0.1751692009306901,0.4568010262449681,0.029051095927372525,0.2695613905842549,0.46807853450333214
Transolver,0.037930057240882886,0.4159689114056528,0.593263214994222,0.049330142724793406,0.4230182682722807,0.578863318040967,0.033590898527763785,0.2822938651777804,0.6522071898728609,0.04057572545018047,0.3862917209416628,0.6554934731125832
GNOT,0.02213540114578791,0.32944078648462893,0.48637690782547,0.03500492988503538,0.3079116935096681,0.5598653769493103,0.019616060444386674,0.10558163557201623,0.5768615715578198,0.02890282151987776,0.2863559432700276,0.623934934027493
GAOT,0.3205462274700403,0.5296794358640909,0.8580842173099518,0.315519651658833,0.5359051483497024,0.68562126301229,0.32355778956785797,0.5216098552942277,0.7927930309996009,0.31396898778155446,0.5413471910357476,0.825326479151845
TNO,0.0161221300548641,0.10857082394883037,0.1769969871873036,0.021592933163046838,0.1057530309073627,0.521047703847289,0.015979668612126262,0.18809112696908414,0.14282097352202983,0.019603860763600097,0.11686817601788789,0.22180535703431814
