model,protocol,degree,seed,iid_loss,ood_loss,ood_iid_ratio
MGN-lite,A,0,0,0.010276723237475381,0.010656982862274162,1.0370020303176128
MGN-lite,A,0,1,0.009679614655324258,0.009891999972751364,1.0219415054203924
MGN-lite,A,0,2,0.010127518884837627,0.010543127896962688,1.0410375943852632
MGN-lite,A,1,0,0.21046946374699474,0.222082890458405,1.0551786777267165
MGN-lite,A,1,1,0.21910166046582163,0.2287890871055424,1.0442143004262259
MGN-lite,A,1,2,0.23068120430223643,0.24182110197842122,1.0482913105551044
MGN-lite,A,2,0,0.3396878376509994,0.4709962418116629,1.3865560953512024
MGN-lite,A,2,1,0.36187690290622415,0.5010939408838749,1.3847082719554697
MGN-lite,A,2,2,0.34870652318932116,0.47598518956452607,1.3650022523556355
MGN-lite,B,0,0,0.009793854245508556,0.014256899819592946,1.4556985903819362
MGN-lite,B,0,1,0.008668145622941666,0.013264292215462775,1.530234123012038
MGN-lite,B,0,2,0.009145058825670276,0.013781881529139355,1.5070303856825358
MGN-lite,B,1,0,0.208205986302346,0.25553039759397506,1.2272961125282296
MGN-lite,B,1,1,0.22543564530089497,0.26986280240118504,1.197072459597026
MGN-lite,B,1,2,0.23394849655218422,0.273952998444438,1.1709970462807844
MGN-lite,B,2,0,0.2755867792200297,0.34862179659307,1.2650164045595556
MGN-lite,B,2,1,0.2761949357017875,0.34868509583175183,1.2624601350700841
MGN-lite,B,2,2,0.2717613300960511,0.34645907470956444,1.2748652451292914
MGN-lite,C,0,0,0.008744671111053322,0.010310190554591828,1.1790255372280014
MGN-lite,C,0,1,0.008125670354056638,0.009615749063086695,1.1833791729301637
MGN-lite,C,0,2,0.008617419402871746,0.009984669816331006,1.158661235984827
MGN-lite,C,1,0,0.16725559770129622,0.19231093485839665,1.1498026822507135
MGN-lite,C,1,1,0.17648164548911155,0.2013705907110125,1.1410285197246561
MGN-lite,C,1,2,0.1725009833741933,0.19859131279401482,1.1512474242725081
MGN-lite,C,2,0,0.32334757127799096,0.45757274895906447,1.4151111361392485
MGN-lite,C,2,1,0.3469570240937173,0.46332565233111384,1.3353978163184959
MGN-lite,C,2,2,0.34307943111285566,0.4671855953335762,1.3617417803747491
MGN-lite,D,0,0,0.010720960334292613,0.013854177445173263,1.2922515346744248
MGN-lite,D,0,1,0.010250011814641767,0.01340727057424374,1.3080248897949507
MGN-lite,D,0,2,0.00987015752296429,0.012444463537540286,1.2608171154904584
MGN-lite,D,1,0,0.24570938891731203,0.28185531957075,1.1471084634279158
MGN-lite,D,1,1,0.24795512286014854,0.28655454276129605,1.1556709918145887
MGN-lite,D,1,2,0.25341273619793353,0.2864455574005842,1.130351858782858
MGN-lite,D,2,0,0.3566805632971227,0.40880513899028303,1.1461379762646036
MGN-lite,D,2,1,0.36626110292971137,0.4124370548687875,1.126073862525166
MGN-lite,D,2,2,0.360334335975349,0.40685077823698523,1.1290924500317907
RIGNO,A,0,0,0.025811694575478165,0.02651621211495221,1.0272945093710877
RIGNO,A,0,1,0.026263190811962822,0.027169539773894913,1.0345102378618538
RIGNO,A,0,2,0.025391432755434012,0.02597561644439418,1.0230071179750637
RIGNO,A,1,0,0.26458977439293313,0.26510511092278727,1.0019476812021044
RIGNO,A,1,1,0.3412196763905988,0.3369543403502756,0.9874997359899005
RIGNO,A,1,2,0.2191899333292278,0.2260770951790304,1.0314209769819034
