Model,A-k0,A-k1,A-k2,B-k0,B-k1,B-k2,C-k0,C-k1,C-k2,D-k0,D-k1,D-k2
MGN-lite,0.010127518884837627,0.21910166046582163,0.34870652318932116,0.009145058825670276,0.22543564530089497,0.2755867792200297,0.008617419402871746,0.1725009833741933,0.34307943111285566,0.010250011814641767,0.24795512286014854,0.360334335975349
RIGNO,0.025811694575478165,0.26458977439293313,0.34910168261589475,0.023222952335090835,0.23331746482975058,0.32781619544364565,0.02278390787243446,0.1650534690127501,0.372451894107419,0.0262088907460381,0.25238376371594634,0.3993872305118511
Transolver,0.03537726067355834,0.4188227524794638,0.5033788819238544,0.034723475266364406,0.38372320994734765,0.4399078060686588,0.03169860846537631,0.27550071742385623,0.4916999524459243,0.035092328804312276,0.36548703277483585,0.5729507326893508
GNOT,0.02022884651669301,0.3257355071231723,0.4170970509015024,0.01827779818617273,0.21613463531248273,0.41373343570157883,0.016121804503491148,0.08791027511935681,0.4211112085916102,0.0221435262815794,0.2296160571742803,0.49416440092027186
GAOT,0.3190006630681455,0.5407632260024547,0.8479116933047771,0.31986578879877925,0.5413073962181807,0.5165520238503813,0.325346789136529,0.5174225991219282,0.6655697935447097,0.31775510439649224,0.5476018055900931,0.7097922774031759
TNO,0.015545309029403143,0.10290199377574026,0.17604699119459838,0.014396464542369359,0.121592216915451,0.3848020030371845,0.013104173155734316,0.16222597301006317,0.18401020676828922,0.01609525920561282,0.13615816709119827,0.2477990128658712
