Model,A-k0,A-k1,A-k2,B-k0,B-k1,B-k2,C-k0,C-k1,C-k2,D-k0,D-k1,D-k2
MGN-lite,1.0370020303176128,1.0482913105551044,1.3847082719554697,1.5070303856825358,1.197072459597026,1.2650164045595556,1.1790255372280014,1.1498026822507135,1.3617417803747491,1.2922515346744248,1.1471084634279158,1.1290924500317907
RIGNO,1.0272945093710877,1.0019476812021044,1.1359172543582698,1.2587742789870604,1.0407519394048192,1.2112664306904197,1.027486499950713,1.0612876056374108,1.2204673096038914,1.1084443141403864,1.0680615369839783,1.1686988094198363
Transolver,1.0664269842415421,0.9931860409757682,1.178561986404436,1.406737517618704,1.0732794188080612,1.32213920017817,1.0591897946205269,1.0193922434299962,1.292845920187684,1.1308656862584598,1.056923190978554,1.1669965003637766
GNOT,1.0942493002515785,1.0113751165606135,1.1563825627097044,1.9115866550237888,1.4773425128644508,1.3532031221985519,1.229089051263478,1.2057074261200302,1.3744998431797952,1.376843643094144,1.2471076578615812,1.2626059927942042
GAOT,1.004845019402247,0.979679386642364,1.0077865917581075,0.9864126227557262,0.9901828951971965,1.3257244185480916,0.9942672162359038,1.0084267597265189,1.1867951534222776,0.9880698749366658,0.9875923116528752,1.1614203525971927
TNO,1.0388182578754317,1.0510108668329814,1.005396263726286,1.495909684022322,0.8775839251898161,1.3511230419994429,1.2057969463412568,1.1558959150649626,0.7761578883603667,1.2179897517129603,0.8583265955659494,0.8939898642241833
