model_group,scope,cell_count,geometry_ratio_A_geomean,topology_ratio_geomean,Q_geomean,Q_median,Q_gt_1_count,Q_gt_1_fraction
all_6_models,all_BCD_degrees,54,1.0641411808787873,1.1672357524295425,1.0968805393525114,1.0862506280641373,42,0.7777777777777778
all_6_models,primary_topology_degrees,24,1.0741596200642092,1.1124544707372677,1.03565098702069,1.0650798846665783,17,0.7083333333333334
all_6_models,B_all_degrees,18,1.0641411808787873,1.2593169430814797,1.1834115300767822,1.1560654834717963,15,0.8333333333333334
all_6_models,B_k1,6,1.0138962412788384,1.0942358957334004,1.0792385366309563,1.0596858509367313,5,0.8333333333333334
all_6_models,C_all_degrees,18,1.0641411808787873,1.129777813296805,1.0616803800072971,1.0856341830228522,14,0.7777777777777778
all_6_models,C_k2,6,1.138004898727272,1.181516260425109,1.0382347753920036,1.0857011251625965,4,0.6666666666666666
all_6_models,D_all_degrees,18,1.0641411808787873,1.1177576640545748,1.0503847460649065,1.0650798846665783,13,0.7222222222222222
all_6_models,D_k1_k2,12,1.0741596200642092,1.0884015741889097,1.0132586943864537,1.046516768364774,8,0.6666666666666666
non_topology_aware_5_including_GAOT,all_BCD_degrees,45,1.0707797850907446,1.1883746883348356,1.1098217438183382,1.0806428750786754,37,0.8222222222222222
non_topology_aware_5_including_GAOT,primary_topology_degrees,20,1.083647764538749,1.173890261768546,1.0832765961255026,1.0775380811466169,17,0.85
non_topology_aware_5_including_GAOT,B_all_degrees,15,1.0707797850907446,1.2693151399271878,1.1854119377306118,1.1419272940106096,13,0.8666666666666667
non_topology_aware_5_including_GAOT,B_k1,5,1.0066320978673757,1.143603345047539,1.1360688254133229,1.0806428750786754,5,1.0
non_topology_aware_5_including_GAOT,C_all_degrees,15,1.0707797850907446,1.151636580055013,1.0755120670842848,1.0744332872145583,12,0.8
non_topology_aware_5_including_GAOT,C_k2,5,1.1665557655847185,1.2851020854409652,1.1016207911816605,1.0969689631106345,4,0.8
non_topology_aware_5_including_GAOT,D_all_degrees,15,1.0707797850907446,1.1480882380858288,1.072198274632662,1.0659853373806432,12,0.8
non_topology_aware_5_including_GAOT,D_k1_k2,10,1.083647764538749,1.1367068497568165,1.0489634057803385,1.0650798846665783,8,0.8
all_except_GAOT,all_BCD_degrees,45,1.0780253946505693,1.189077549150993,1.1030144141793805,1.0942649737509362,36,0.8
all_except_GAOT,primary_topology_degrees,20,1.0910316068413803,1.119581668761544,1.0261679512684498,1.0650798846665783,13,0.65
all_except_GAOT,B_all_degrees,15,1.0780253946505693,1.2962245303847975,1.2024063039859605,1.1702036729329832,13,0.8666666666666667
all_except_GAOT,B_k1,5,1.0208817064603877,1.1163234940113458,1.0934895658791604,1.0806428750786754,4,0.8
all_except_GAOT,C_all_degrees,15,1.0780253946505693,1.1443444484847736,1.0615190088872637,1.0968350788311463,12,0.8
all_except_GAOT,C_k2,5,1.1660018585836736,1.1804633028514944,1.0124025910948262,1.0744332872145583,3,0.6
all_except_GAOT,D_all_degrees,15,1.0780253946505693,1.1334269501122218,1.0513916979475335,1.0659853373806432,11,0.7333333333333333
all_except_GAOT,D_k1_k2,10,1.0910316068413803,1.0919186409836663,1.000813023322811,1.046516768364774,6,0.6
non_topology_aware_4_excluding_GAOT,all_BCD_degrees,36,1.089965040817175,1.2217056803136483,1.1208668485346134,1.0930616774002675,31,0.8611111111111112
non_topology_aware_4_excluding_GAOT,primary_topology_degrees,16,1.107397671538104,1.1993079982966945,1.0829966769127597,1.0775380811466169,13,0.8125
non_topology_aware_4_excluding_GAOT,B_all_degrees,12,1.089965040817175,1.3185893099444634,1.2097537632545377,1.1560654834717963,11,0.9166666666666666
non_topology_aware_4_excluding_GAOT,B_k1,4,1.0134853502176604,1.1855378288964162,1.1697631629720204,1.1112850845446425,4,1.0
non_topology_aware_4_excluding_GAOT,C_all_degrees,12,1.089965040817175,1.1758467148676248,1.0787930537534138,1.0856341830228522,10,0.8333333333333334
non_topology_aware_4_excluding_GAOT,C_k2,4,1.2100121651138251,1.3109257505880998,1.0833988189406194,1.0857011251625965,3,0.75
non_topology_aware_4_excluding_GAOT,D_all_degrees,12,1.089965040817175,1.1760871875245262,1.0790136779458386,1.072489523793236,10,0.8333333333333334
non_topology_aware_4_excluding_GAOT,D_k1_k2,8,1.107397671538104,1.1537579451383235,1.04186416026668,1.0650798846665783,6,0.75
TNO_only,all_BCD_degrees,9,1.031560448845718,1.0670493954208264,1.0344031671772793,1.099794446986102,5,0.5555555555555556
TNO_only,primary_topology_degrees,4,1.0279505818129608,0.8502682747160855,0.8271489794932523,0.8258290068810598,0,0.0
TNO_only,B_all_degrees,3,1.031560448845718,1.210494938714635,1.1734600139712015,1.3438711588123418,2,0.6666666666666666
TNO_only,B_k1,1,1.0510108668329814,0.8775839251898161,0.8349903439478662,0.8349903439478662,0,0.0
TNO_only,C_all_degrees,3,1.031560448845718,1.0265520976944356,0.9951448786574877,1.099794446986102,2,0.6666666666666666
TNO_only,C_k2,1,1.005396263726286,0.7761578883603667,0.7719920158482623,0.7719920158482623,0,0.0
TNO_only,D_all_degrees,3,1.031560448845718,0.9777089697203745,0.9477960994088116,0.8891915521058344,1,0.3333333333333333
TNO_only,D_k1_k2,2,1.0279505818129608,0.875976755758969,0.8521584317935198,0.8529296109600439,0,0.0
