model,protocol,degree,analysis_role,geometry_ratio_A,topology_protocol_ratio,extra_degradation_Q,extra_degradation_percent,Q_gt_1,is_TNO,is_GAOT
MGN-lite,B,0,control,1.0370020303176128,1.5070303856825358,1.4532569287458026,45.325692874580255,True,False,False
MGN-lite,B,1,primary_topology_degree,1.0482913105551044,1.197072459597026,1.1419272940106096,14.192729401060955,True,False,False
MGN-lite,B,2,control,1.3847082719554697,1.2650164045595556,0.9135616722886427,-8.64383277113573,False,False,False
MGN-lite,C,0,control,1.0370020303176128,1.1790255372280014,1.136955861954185,13.695586195418507,True,False,False
MGN-lite,C,1,control,1.0482913105551044,1.1498026822507135,1.0968350788311463,9.683507883114629,True,False,False
MGN-lite,C,2,primary_topology_degree,1.3847082719554697,1.3617417803747491,0.9834142020771729,-1.6585797922827106,False,False,False
MGN-lite,D,0,control,1.0370020303176128,1.2922515346744248,1.2461417595090283,24.614175950902826,True,False,False
MGN-lite,D,1,primary_topology_degree,1.0482913105551044,1.1471084634279158,1.0942649737509362,9.426497375093623,True,False,False
MGN-lite,D,2,primary_topology_degree,1.3847082719554697,1.1290924500317907,0.8154009569375207,-18.45990430624793,False,False,False
RIGNO,B,0,control,1.0272945093710877,1.2587742789870604,1.2253295111619795,22.532951116197953,True,False,False
RIGNO,B,1,primary_topology_degree,1.0019476812021044,1.0407519394048192,1.038728826794787,3.8728826794786952,True,False,False
RIGNO,B,2,control,1.1359172543582698,1.2112664306904197,1.0663333319773525,6.633333197735247,True,False,False
RIGNO,C,0,control,1.0272945093710877,1.027486499950713,1.0001868895218207,0.018688952182066565,True,False,False
RIGNO,C,1,control,1.0019476812021044,1.0612876056374108,1.0592245738461237,5.922457384612367,True,False,False
RIGNO,C,2,primary_topology_degree,1.1359172543582698,1.2204673096038914,1.0744332872145583,7.443328721455833,True,False,False
RIGNO,D,0,control,1.0272945093710877,1.1084443141403864,1.0789937102058287,7.899371020582868,True,False,False
RIGNO,D,1,primary_topology_degree,1.0019476812021044,1.0680615369839783,1.0659853373806432,6.598533738064316,True,False,False
RIGNO,D,2,primary_topology_degree,1.1359172543582698,1.1686988094198363,1.0288591047770344,2.885910477703435,True,False,False
Transolver,B,0,control,1.0664269842415421,1.406737517618704,1.319112830419605,31.91128304196049,True,False,False
Transolver,B,1,primary_topology_degree,0.9931860409757682,1.0732794188080612,1.0806428750786754,8.06428750786754,True,False,False
Transolver,B,2,control,1.178561986404436,1.32213920017817,1.1218240664725325,12.182406647253252,True,False,False
Transolver,C,0,control,1.0664269842415421,1.0591897946205269,0.9932136098129939,-0.6786390187006108,False,False,False
Transolver,C,1,control,0.9931860409757682,1.0193922434299962,1.0263859955466967,2.638599554669674,True,False,False
Transolver,C,2,primary_topology_degree,1.178561986404436,1.292845920187684,1.0969689631106345,9.696896311063451,True,False,False
Transolver,D,0,control,1.0664269842415421,1.1308656862584598,1.0604248607444489,6.042486074444886,True,False,False
Transolver,D,1,primary_topology_degree,0.9931860409757682,1.056923190978554,1.0641744319525135,6.417443195251349,True,False,False
Transolver,D,2,primary_topology_degree,1.178561986404436,1.1669965003637766,0.9901867817101894,-0.9813218289810632,False,False,False
GNOT,B,0,control,1.0942493002515785,1.9115866550237888,1.7469388873123304,74.69388873123305,True,False,False
GNOT,B,1,primary_topology_degree,1.0113751165606135,1.4773425128644508,1.4607265777790284,46.07265777790283,True,False,False
GNOT,B,2,control,1.1563825627097044,1.3532031221985519,1.1702036729329832,17.02036729329832,True,False,False
GNOT,C,0,control,1.0942493002515785,1.229089051263478,1.1232258051075734,12.32258051075734,True,False,False
GNOT,C,1,control,1.0113751165606135,1.2057074261200302,1.1921466193673849,19.214661936738487,True,False,False
GNOT,C,2,primary_topology_degree,1.1563825627097044,1.3744998431797952,1.188620347196334,18.862034719633392,True,False,False
GNOT,D,0,control,1.0942493002515785,1.376843643094144,1.2582540768155797,25.825407681557966,True,False,False
GNOT,D,1,primary_topology_degree,1.0113751165606135,1.2471076578615812,1.2330812153087414,23.30812153087414,True,False,False
GNOT,D,2,primary_topology_degree,1.1563825627097044,1.2626059927942042,1.091858381049599,9.185838104959899,True,False,False
GAOT,B,0,control,1.004845019402247,0.9864126227557262,0.9816564780731205,-1.8343521926879491,False,False,True
GAOT,B,1,primary_topology_degree,0.979679386642364,0.9901828951971965,1.0107213734391522,1.0721373439152249,True,False,True
GAOT,B,2,control,1.0077865917581075,1.3257244185480916,1.315481302678709,31.54813026787091,True,False,True
GAOT,C,0,control,1.004845019402247,0.9942672162359038,0.9894731993868711,-1.052680061312894,False,False,True
GAOT,C,1,control,0.979679386642364,1.0084267597265189,1.0293436541343186,2.934365413431861,True,False,True
GAOT,C,2,primary_topology_degree,1.0077865917581075,1.1867951534222776,1.1776254646848252,17.76254646848252,True,False,True
GAOT,D,0,control,1.004845019402247,0.9880698749366658,0.9833057395502043,-1.6694260449795717,False,False,True
GAOT,D,1,primary_topology_degree,0.979679386642364,0.9875923116528752,1.0080770557372152,0.8077055737215177,True,False,True
GAOT,D,2,primary_topology_degree,1.0077865917581075,1.1614203525971927,1.1524467204619855,15.244672046198549,True,False,True
TNO,B,0,control,1.0388182578754317,1.495909684022322,1.4400109669632912,44.00109669632912,True,True,False
TNO,B,1,primary_topology_degree,1.0510108668329814,0.8775839251898161,0.8349903439478662,-16.50096560521338,False,True,False
TNO,B,2,control,1.005396263726286,1.3511230419994429,1.3438711588123418,34.38711588123417,True,True,False
TNO,C,0,control,1.0388182578754317,1.2057969463412568,1.1607390775045927,16.07390775045927,True,True,False
TNO,C,1,control,1.0510108668329814,1.1558959150649626,1.099794446986102,9.979444698610207,True,True,False
