model,A-k0,B-k0,C-k0,D-k0,A-k1,B-k1,C-k1,D-k1,A-k2,B-k2,C-k2,D-k2
MGN-lite,1.0370020303,1.5070303857,1.1790255372,1.2922515347,1.0482913106,1.1970724596,1.1498026823,1.1471084634,1.3847082720,1.2650164046,1.3617417804,1.1290924500
RIGNO,1.0272945094,1.2587742790,1.0274865000,1.1084443141,1.0019476812,1.0407519394,1.0612876056,1.0680615370,1.1359172544,1.2112664307,1.2204673096,1.1686988094
Transolver,1.0664269842,1.4067375176,1.0591897946,1.1308656863,0.9931860410,1.0732794188,1.0193922434,1.0569231910,1.1785619864,1.3221392002,1.2928459202,1.1669965004
GNOT,1.0942493003,1.9115866550,1.2290890513,1.3768436431,1.0113751166,1.4773425129,1.2057074261,1.2471076579,1.1563825627,1.3532031222,1.3744998432,1.2626059928
GAOT,1.0048450194,0.9864126228,0.9942672162,0.9880698749,0.9796793866,0.9901828952,1.0084267597,0.9875923117,1.0077865918,1.3257244185,1.1867951534,1.1614203526
TNO,1.0388182579,1.4959096840,1.2057969463,1.2179897517,1.0510108668,0.8775839252,1.1558959151,0.8583265956,1.0053962637,1.3511230420,0.7761578884,0.8939898642
