model,task,beta_k,beta_total,initial_rayleigh_quotient,log_lambda1_positive,log_nk,rho_H,target_norm_retention
TNO,D-k2,2.7654514025158056e-17,1.686133275163013e-06,2.05132485271321e-165,0.5362110178967929,0.0015106199611767293,9.50400584530745e-215,1.0293756364904853e-215
Transolver,A-k0,,,1.3492332742817332e-131,0.3811681425813721,0.4202935253571679,,7.845084629916053e-128
Transolver,A-k1,,,3.387768165366643e-188,0.0009584766982928172,0.6660560284216723,2.4416335023493318e-157,1.1795677419203958e-121
Transolver,A-k2,,,1.6614077038106175e-97,0.6035490463491195,4.316075354972928e-12,1.468678951934696e-104,5.0124364958907244e-85
Transolver,B-k0,,1.522248026974737e-20,1.1471170478023112e-131,1.4164837251087066e-09,1.6429968151160185e-19,,1.331180810619987e-125
Transolver,B-k1,3.233659027005125e-33,3.233659027005125e-33,2.342941238191516e-75,1.5375072555227768e-08,1.4879123111964795e-33,4.3924583827532895e-34,4.545142095017388e-36
Transolver,B-k2,,1.540926974223366e-111,3.79295864385189e-167,1.27406251804748e-87,4.921637493985728e-121,,4.3095881788377913e-16
Transolver,C-k0,,0.014417310494386323,5.983559588255403e-140,0.8646671829421753,0.008647652956524393,,9.620196184201734e-133
Transolver,C-k1,,0.0004692687847306136,8.288456148875558e-68,0.03973395973929365,4.752044277089455e-05,,0.0003962788067596349
Transolver,C-k2,5.185147096862199e-103,5.185147096862199e-103,6.061875706980232e-73,1.779825326712269e-51,1.369929015032803e-119,1.3511558388442762e-10,4.428086593939221e-05
Transolver,D-k0,,6.445516137967535e-05,5.220930828987798e-130,0.0016083011665782286,1.793240968346005e-06,,1.1814262253470134e-124
Transolver,D-k1,1.0367398867992472e-26,4.6738846280849214e-17,2.918939685639902e-43,1.850841794033467e-07,3.6218878647572584e-25,1.663877301321282e-24,5.638684169693162e-20
Transolver,D-k2,1.1304627941902009e-35,4.266869966533709e-47,2.8740590352227746e-92,2.766809605148103e-43,1.2008448970486766e-78,9.196691185821833e-35,3.3051374998082497e-23
