scope,task,protocol,degree,metric,median,mean,q25,q75,minimum,maximum
all,A-k0,A,0,rho_J_error,0.7375144711970592,0.6480270368269675,0.7097667931217942,0.7394169780437414,0.1990810474925967,0.7734835169857488
all,A-k1,A,1,rho_J_error,0.5273989611018903,0.4825892252004627,0.38815230982512106,0.5679033501130035,0.3120879861671821,0.6055078703155743
all,A-k2,A,2,rho_J_error,0.13443342165368033,0.10148006921882739,-0.021818640114703178,0.1970555618381101,-0.10842579333038802,0.30441241747390263
all,B-k0,B,0,rho_J_error,0.5981917185319214,0.5088837148959825,0.44237912251137607,0.6281952473418935,0.16332786848744865,0.6649529697081914
all,B-k1,B,1,rho_J_error,0.3767132160012563,0.4021087841040534,0.26237850800918283,0.5246912642836971,0.22864633150247324,0.6322957220629987
all,B-k2,B,2,rho_J_error,0.755515074419951,0.7132371688468039,0.6764995552732639,0.8051379773488193,0.4624764599517422,0.8340764104063687
all,C-k0,C,0,rho_J_error,0.7322297992108593,0.6445630655311757,0.6374314086646129,0.7599337216537977,0.22958113525843749,0.7983373518895907
all,C-k1,C,1,rho_J_error,0.1404281476281827,0.16959558333811853,-0.14078290069644556,0.4006312255883694,-0.352824301884493,0.8366958385530621
all,C-k2,C,2,rho_J_error,0.5483417889030426,0.3877545137712945,0.35529089757456933,0.6367738774019053,-0.39269463972446866,0.6653463038462124
all,D-k0,D,0,rho_J_error,0.6886900278086048,0.6013847275916905,0.6222478673331513,0.7008528352940763,0.1992893864411666,0.7266313385278667
all,D-k1,D,1,rho_J_error,0.34844360583734607,0.35314588411218373,0.2192982135930522,0.4510560670629169,0.18029848546815838,0.5801796372138571
all,D-k2,D,2,rho_J_error,0.45570388552886154,0.32941304518087705,0.25082564045923456,0.5055565383033352,-0.23239362300532151,0.5927571417020085
iid,A-k0,A,0,rho_J_error,0.7381018173465896,0.6524564022756286,0.7147611070486047,0.7465382055284462,0.20678230747235546,0.7754212662832286
iid,A-k1,A,1,rho_J_error,0.5198559060248532,0.4844693976084338,0.4150832091143893,0.5627362269316046,0.32058535247711323,0.5893305770790268
iid,A-k2,A,2,rho_J_error,0.08034127397074059,0.04451344845851322,-0.0739070197765934,0.13636884588882173,-0.16334465366352136,0.24002121097064216
iid,B-k0,B,0,rho_J_error,0.6204513835177868,0.5527094378272467,0.5472214565960261,0.6666129243951945,0.16478622622847852,0.7057560480563251
iid,B-k1,B,1,rho_J_error,0.4416896823276287,0.41420760287159725,0.27102682777629344,0.5397603043129755,0.20692558113372053,0.608350950206666
iid,B-k2,B,2,rho_J_error,0.8134152006487511,0.7494955421805347,0.6819203662818224,0.8506636104118913,0.48539030529735205,0.8835840446625699
iid,C-k0,C,0,rho_J_error,0.7009645952571801,0.6265754321491128,0.5990605942353036,0.7430605145476791,0.24624861132595524,0.7890897095151712
iid,C-k1,C,1,rho_J_error,0.10812976660901033,0.15350228281606693,-0.1263994846085697,0.36915043617255655,-0.3200269297295777,0.773199669061983
iid,C-k2,C,2,rho_J_error,0.5905827626293167,0.41464203850318526,0.4363396427181918,0.6307544308662983,-0.5237647011948457,0.8013811505955479
iid,D-k0,D,0,rho_J_error,0.6825373008395326,0.5975061679783875,0.6278880904501414,0.6937057909465484,0.1771223392536551,0.7357397589683735
iid,D-k1,D,1,rho_J_error,0.3161721815190337,0.28487837871621674,0.10236689237014435,0.44159372905270167,0.03804959851499768,0.5243769365264633
