model,protocol,degree,task,scope,n,rho_J_error,p_J_error,rho_R_error,p_R_error,rho_q_error,p_q_error,rho_R_q,partial_rho_J_error_given_R,partial_p_J_error_given_R,partial_rho_J_error_given_q,partial_p_J_error_given_q,partial_rho_J_error_given_R_q,partial_p_J_error_given_R_q,rank_R2_R,rank_R2_q,rank_R2_R_q,rank_R2_R_J,rank_R2_q_J,rank_R2_R_q_J,J_median,J_q25,J_q75,delta_rank_R2_J_over_R,delta_rank_R2_J_over_q,delta_rank_R2_J_over_R_q
GAOT,A,0,A-k0,all,1600,0.1990810474925967,9.161336633156886e-16,0.403532726965909,1.0407399466602714e-63,-0.4022804022579696,2.733479779744749e-63,-0.9968144147712559,-0.23423285139873612,2.215399616232296e-21,-0.20925302586383146,2.7346168157058564e-17,-0.24964051635297826,3.7179253955621454e-24,0.1628386617325429,0.16182952204083378,0.1628388346287919,0.20876954256167124,0.19853034929224755,0.2150110427751315,0.034008176428098946,0.014899400505509496,0.0715284399569586,0.04593088082912833,0.03670082725141377,0.052172208146339605
GAOT,A,0,A-k0,iid,800,0.20678230747235546,3.5595517558214737e-09,0.4068863701349533,2.992324046169524e-33,-0.408875420117844,1.369747757972754e-33,-0.9969254873835742,-0.23493284130498096,1.7093591474661886e-11,-0.21684705440335517,5.730834953003057e-10,-0.23264523103705384,2.710028128606809e-11,0.16555651820159833,0.16717910917654333,0.1672663728330953,0.2116123243839041,0.20634055027715992,0.21233708405794127,0.03389131832094992,0.014712266094190643,0.07291342982445283,0.04605580618230576,0.03916144110061659,0.04507071122484596
GAOT,A,0,A-k0,ood,800,0.19016019556280558,5.971260821287082e-08,0.3988271387924044,6.726618522885136e-32,-0.39508060168844017,2.777521537619063e-31,-0.9966465338227092,-0.23366464933464975,2.2082378526837503e-11,-0.20364019965121855,6.179976485609221e-09,-0.26484268402964883,2.6253986257399255e-14,0.1590630866373357,0.15608868183050006,0.15992986625318595,0.2049775427406474,0.1910851195457307,0.21885376926830147,0.034105749300506874,0.015140121155708175,0.07034023450104183,0.045914456103311685,0.034996437715230644,0.05892390301511552
GAOT,A,1,A-k1,all,1600,0.5566696914896279,7.146182669991496e-131,0.9569407026308463,0.0,-0.8736143765634389,0.0,-0.9471534178333664,0.19399517099762803,4.9481197466744556e-15,0.6460842564701774,1.0130230827292932e-189,-0.13328714368560868,8.736743769123127e-08,0.9157355083516178,0.763202078938326,0.9261621770022801,0.9189067288788504,0.8620474195151746,0.9274739400905181,0.3850501532201115,0.3300625030223757,0.4630594535877467,0.003171220527232621,0.09884534057684857,0.0013117630882379938
GAOT,A,1,A-k1,iid,800,0.5502521175814338,1.6376168833441986e-64,0.960199031560987,0.0,-0.8805167039323499,6.138742056739536e-261,-0.9448129918952999,0.15624415436496167,9.011128659440448e-06,0.6619008442826696,5.48712486317774e-102,-0.13577301502274114,0.00011711539515196812,0.9219821802106569,0.7753096659038895,0.9286202458756899,0.9238867696218671,0.8737493610540474,0.929936082505746,0.4030942044894502,0.34439174113670423,0.478825780080923,0.001904589411210189,0.09843969515015794,0.0013158366300560775
GAOT,A,1,A-k1,ood,800,0.557001893752959,2.1951308436698583e-66,0.9542013425020979,0.0,-0.8727154729929267,1.0751708215678807e-250,-0.9515939399905313,0.2129272063233631,1.1798148792783655e-09,0.6185740849627306,1.2164892440581867e-85,-0.11164245439620572,0.0015632405755836105,0.9105002020328055,0.7616322968012674,0.9236882356883821,0.9145579434427873,0.8528398603735418,0.9246393883898861,0.3725725996445296,0.3170752876895301,0.44757115319576574,0.00405774140998183,0.09120756357227433,0.0009511527015040322
GAOT,A,2,A-k2,all,1600,-0.061113533638099085,0.01448857502284797,0.9053305743478808,0.0,-0.9092758600686954,0.0,-0.9092444508767387,-0.5275974627202424,2.37508382342241e-115,0.1509472163164342,1.2953791366561906e-09,-0.29117594546613246,1.2320296430424919e-32,0.8196234488490634,0.8267825897036656,0.8624154860109514,0.8698329001624068,0.8307293591564384,0.8740803731894171,1.0126226671908718,0.8215427777578459,1.221606298402037,0.05020945131334342,0.003946769452772836,0.0116648871784657
GAOT,A,2,A-k2,iid,800,-0.10820827063792288,0.0021780852190937754,0.9032623879099811,1.8509019701165005e-295,-0.918893982646848,0.0,-0.9193329677077621,-0.533323845957638,5.340806480027136e-60,0.10654646728467157,0.0025489411936781533,-0.2603087293013585,7.406087261480739e-14,0.8158829414128412,0.8443661513445856,0.866464470858364,0.8682521526317627,0.8461329300914839,0.8755129230480364,0.9759788202809327,0.7807286066750648,1.1677320228872095,0.05236921121892146,0.0017667787468983454,0.009048452189672429
GAOT,A,2,A-k2,ood,800,-0.03366652135393962,0.34159743028109213,0.9127349730233953,1.84444001892e-312,-0.9252944692101082,0.0,-0.9125660586969669,-0.5336295312745769,4.450002022369294e-60,0.15947506173952153,5.825615609714167e-06,-0.24520765667483674,2.0314172546360612e-12,0.8330851309800182,0.8561698547508158,0.8841008930265792,0.8806158886418409,0.8598277854802547,0.8910695348597321,1.064557010734342,0.8650877584020948,1.2625218848237507,0.04753075766182269,0.003657930729438985,0.006968641833152822
GAOT,B,0,B-k0,all,1600,0.16332786848744865,4.958150639845964e-11,0.3866532555286155,3.316725122641237e-58,-0.3966659938148414,1.9717755972739747e-61,-0.9953604483829877,-0.2606861004499128,2.881060979675077e-26,-0.24262538624245908,7.21162138831497e-23,-0.2280148904151174,2.5735774426827168e-20,0.14950074001087688,0.1573439106491158,0.16455831309018287,0.2072983248658764,0.20694861242965412,0.207993586601268,0.030972867194587375,0.013798623446911927,0.06584535439276445,0.05779758485499953,0.04960470178053833,0.043435273511085115
