protocol,degree,task,scope,pair,n,spearman_rho,p_value
D,0,D-k0,ood,R_q,800,-0.9992675769805891,0.0
D,0,D-k0,ood,R_J,800,0.835010640641626,3.0590732387149214e-209
D,0,D-k0,ood,q_J,800,-0.8282634660366658,6.252796091312617e-203
D,1,D-k1,all,R_q,1600,-0.9392648825253448,0.0
D,1,D-k1,all,R_J,1600,0.4076223291493474,4.317686145322553e-65
D,1,D-k1,all,q_J,1600,-0.12976900576914288,1.901251317452887e-07
D,1,D-k1,iid,R_q,800,-0.9235265758227749,0.0
D,1,D-k1,iid,R_J,800,0.3195413039707875,1.8980351147510796e-20
D,1,D-k1,iid,q_J,800,-0.0027323245817571593,0.9384953759907436
D,1,D-k1,ood,R_q,800,-0.9452662738535529,0.0
D,1,D-k1,ood,R_J,800,0.5293719912062363,5.556845242072343e-59
D,1,D-k1,ood,q_J,800,-0.2766925885821697,1.5877361276132735e-15
D,2,D-k2,all,R_q,1600,-0.7923254462208774,0.0
D,2,D-k2,all,R_J,1600,0.21961176352022013,6.317569837893564e-19
D,2,D-k2,all,q_J,1600,0.34320249832128846,1.8851112377659695e-45
D,2,D-k2,iid,R_q,800,-0.7818912451425706,6.15849350895792e-166
D,2,D-k2,iid,R_J,800,0.025208547200855004,0.47646250881509344
D,2,D-k2,iid,q_J,800,0.5213046504760164,6.027722653821883e-57
D,2,D-k2,ood,R_q,800,-0.9179153483052318,1.4e-322
D,2,D-k2,ood,R_J,800,0.28614337678652624,1.5331407952283885e-16
D,2,D-k2,ood,q_J,800,-0.0006653682271378551,0.9850086065825345
